source,target,type
copper_chestplate,copper_nugget,minecraft:blasting
copper_leggings,copper_nugget,minecraft:blasting
copper_boots,copper_nugget,minecraft:blasting
copper_horse_armor,copper_nugget,minecraft:blasting
copper_nautilus_armor,copper_nugget,minecraft:blasting
copper_pickaxe,copper_nugget,minecraft:smelting
copper_shovel,copper_nugget,minecraft:smelting
copper_axe,copper_nugget,minecraft:smelting
copper_hoe,copper_nugget,minecraft:smelting
copper_sword,copper_nugget,minecraft:smelting
copper_spear,copper_nugget,minecraft:smelting
copper_helmet,copper_nugget,minecraft:smelting
copper_chestplate,copper_nugget,minecraft:smelting
copper_leggings,copper_nugget,minecraft:smelting
copper_boots,copper_nugget,minecraft:smelting
copper_horse_armor,copper_nugget,minecraft:smelting
copper_nautilus_armor,copper_nugget,minecraft:smelting
stick,copper_pickaxe,minecraft:crafting_shaped
copper_tool_materials,copper_pickaxe,minecraft:crafting_shaped
stick,copper_shovel,minecraft:crafting_shaped
copper_tool_materials,copper_shovel,minecraft:crafting_shaped
stick,copper_spear,minecraft:crafting_shaped
copper_tool_materials,copper_spear,minecraft:crafting_shaped
stick,copper_sword,minecraft:crafting_shaped
copper_tool_materials,copper_sword,minecraft:crafting_shaped
stick,copper_torch,minecraft:crafting_shaped
copper_nugget,copper_torch,minecraft:crafting_shaped
coal,copper_torch,minecraft:crafting_shaped
charcoal,copper_torch,minecraft:crafting_shaped
copper_ingot,copper_trapdoor,minecraft:crafting_shaped
deepslate_bricks,cracked_deepslate_bricks,minecraft:smelting
deepslate_tiles,cracked_deepslate_tiles,minecraft:smelting
nether_bricks,cracked_nether_bricks,minecraft:smelting
polished_blackstone_bricks,cracked_polished_blackstone_bricks,minecraft:smelting
stone_bricks,cracked_stone_bricks,minecraft:smelting
iron_ingot,crafter,minecraft:crafting_shaped
crafting_table,crafter,minecraft:crafting_shaped
dropper,crafter,minecraft:crafting_shaped
redstone,crafter,minecraft:crafting_shaped
planks,crafting_table,minecraft:crafting_shaped
pale_oak_log,creaking_heart,minecraft:crafting_shaped
resin_block,creaking_heart,minecraft:crafting_shaped
paper,creeper_banner_pattern,minecraft:crafting_shapeless
creeper_head,creeper_banner_pattern,minecraft:crafting_shapeless
crimson_planks,crimson_button,minecraft:crafting_shapeless
crimson_planks,crimson_door,minecraft:crafting_shaped
stick,crimson_fence,minecraft:crafting_shaped
crimson_planks,crimson_fence,minecraft:crafting_shaped
stick,crimson_fence_gate,minecraft:crafting_shaped
crimson_planks,crimson_fence_gate,minecraft:crafting_shaped
stripped_crimson_stem,crimson_hanging_sign,minecraft:crafting_shaped
iron_chain,crimson_hanging_sign,minecraft:crafting_shaped
crimson_stem,crimson_hyphae,minecraft:crafting_shaped
crimson_stems,crimson_planks,minecraft:crafting_shapeless
crimson_planks,crimson_pressure_plate,minecraft:crafting_shaped
stripped_crimson_stem,crimson_shelf,minecraft:crafting_shaped
crimson_planks,crimson_sign,minecraft:crafting_shaped
stick,crimson_sign,minecraft:crafting_shaped
crimson_planks,crimson_slab,minecraft:crafting_shaped
crimson_planks,crimson_stairs,minecraft:crafting_shaped
crimson_planks,crimson_trapdoor,minecraft:crafting_shaped
stick,crossbow,minecraft:crafting_shaped
tripwire_hook,crossbow,minecraft:crafting_shaped
iron_ingot,crossbow,minecraft:crafting_shaped
string,crossbow,minecraft:crafting_shaped
copper_block,cut_copper,minecraft:crafting_shaped
copper_block,cut_copper,minecraft:stonecutting
cut_copper,cut_copper_slab,minecraft:crafting_shaped
copper_block,cut_copper_slab,minecraft:stonecutting
cut_copper,cut_copper_slab,minecraft:stonecutting
cut_copper,cut_copper_stairs,minecraft:crafting_shaped
copper_block,cut_copper_stairs,minecraft:stonecutting
cut_copper,cut_copper_stairs,minecraft:stonecutting
red_sandstone,cut_red_sandstone,minecraft:crafting_shaped
red_sandstone,cut_red_sandstone,minecraft:stonecutting
cut_red_sandstone,cut_red_sandstone_slab,minecraft:crafting_shaped
cut_red_sandstone,cut_red_sandstone_slab,minecraft:stonecutting
red_sandstone,cut_red_sandstone_slab,minecraft:stonecutting
sandstone,cut_sandstone,minecraft:crafting_shaped
sandstone,cut_sandstone,minecraft:stonecutting
cut_sandstone,cut_sandstone_slab,minecraft:crafting_shaped
cut_sandstone,cut_sandstone_slab,minecraft:stonecutting
sandstone,cut_sandstone_slab,minecraft:stonecutting
cyan_wool,cyan_banner,minecraft:crafting_shaped
stick,cyan_banner,minecraft:crafting_shaped
cyan_wool,cyan_bed,minecraft:crafting_shaped
planks,cyan_bed,minecraft:crafting_shaped
candle,cyan_candle,minecraft:crafting_shapeless
cyan_dye,cyan_candle,minecraft:crafting_shapeless
cyan_wool,cyan_carpet,minecraft:crafting_shaped
cyan_dye,cyan_concrete_powder,minecraft:crafting_shapeless
sand,cyan_concrete_powder,minecraft:crafting_shapeless
gravel,cyan_concrete_powder,minecraft:crafting_shapeless
blue_dye,cyan_dye,minecraft:crafting_shapeless
green_dye,cyan_dye,minecraft:crafting_shapeless
pitcher_plant,cyan_dye,minecraft:crafting_shapeless
cyan_terracotta,cyan_glazed_terracotta,minecraft:smelting
cyan_wool,cyan_harness,minecraft:crafting_shaped
glass,cyan_harness,minecraft:crafting_shaped
leather,cyan_harness,minecraft:crafting_shaped
glass,cyan_stained_glass,minecraft:crafting_shaped
cyan_dye,cyan_stained_glass,minecraft:crafting_shaped
cyan_stained_glass,cyan_stained_glass_pane,minecraft:crafting_shaped
glass_pane,cyan_stained_glass_pane,minecraft:crafting_shaped
cyan_dye,cyan_stained_glass_pane,minecraft:crafting_shaped
terracotta,cyan_terracotta,minecraft:crafting_shaped
cyan_dye,cyan_terracotta,minecraft:crafting_shaped
dark_oak_planks,dark_oak_boat,minecraft:crafting_shaped
dark_oak_planks,dark_oak_button,minecraft:crafting_shapeless
chest,dark_oak_chest_boat,minecraft:crafting_shapeless
dark_oak_boat,dark_oak_chest_boat,minecraft:crafting_shapeless
dark_oak_planks,dark_oak_door,minecraft:crafting_shaped
stick,dark_oak_fence,minecraft:crafting_shaped
dark_oak_planks,dark_oak_fence,minecraft:crafting_shaped
stick,dark_oak_fence_gate,minecraft:crafting_shaped
dark_oak_planks,dark_oak_fence_gate,minecraft:crafting_shaped
stripped_dark_oak_log,dark_oak_hanging_sign,minecraft:crafting_shaped
iron_chain,dark_oak_hanging_sign,minecraft:crafting_shaped
dark_oak_logs,dark_oak_planks,minecraft:crafting_shapeless
dark_oak_planks,dark_oak_pressure_plate,minecraft:crafting_shaped
stripped_dark_oak_log,dark_oak_shelf,minecraft:crafting_shaped
dark_oak_planks,dark_oak_sign,minecraft:crafting_shaped
stick,dark_oak_sign,minecraft:crafting_shaped
