id,version,colorGroup
cod,1.0.0,pre_1_8
comparator,1.5,pre_1_8
compass,1.0.0,pre_1_8
composter,1.14,1.13-1.15
conduit,1.13,1.13-1.15
cooked_beef,1.0.0,pre_1_8
cooked_chicken,1.0.0,pre_1_8
cooked_cod,1.0.0,pre_1_8
cooked_mutton,1.8,pre_1_8
cooked_porkchop,1.0.0,pre_1_8
cooked_rabbit,1.8,pre_1_8
cooked_salmon,1.6.1,pre_1_8
cookie,1.0.0,pre_1_8
copper_axe,1.21.9,1.19+
copper_bars,1.21.9,1.19+
copper_block,1.17,1.16-1.18
copper_boots,1.21.9,1.19+
copper_bulb,1.20.3,1.19+
copper_chain,1.21.9,1.19+
copper_chest,1.21.9,1.19+
copper_chestplate,1.21.9,1.19+
copper_door,1.20.3,1.19+
copper_golem_statue,1.21.9,1.19+
copper_grate,1.20.3,1.19+
copper_helmet,1.21.9,1.19+
copper_hoe,1.21.9,1.19+
copper_horse_armor,1.21.9,1.19+
copper_ingot,1.17,1.16-1.18
copper_lantern,1.21.9,1.19+
copper_leggings,1.21.9,1.19+
copper_nautilus_armor,1.21.9,1.19+
copper_nugget,1.21.9,1.19+
copper_ore,1.17,1.16-1.18
copper_pickaxe,1.21.9,1.19+
copper_shovel,1.21.9,1.19+
copper_spear,1.21.9,1.19+
copper_sword,1.21.9,1.19+
copper_torch,1.21.9,1.19+
copper_trapdoor,1.20.3,1.19+
cornflower,1.14,1.13-1.15
cracked_deepslate_bricks,1.17,1.16-1.18
cracked_deepslate_tiles,1.17,1.16-1.18
cracked_nether_bricks,1.16,1.16-1.18
cracked_polished_blackstone_bricks,1.16,1.16-1.18
cracked_stone_bricks,1.0.0,pre_1_8
crafter,1.20.3,1.19+
crafting_table,1.0.0,pre_1_8
creaking_heart,1.21.2,1.19+
creeper_banner_pattern,1.14,1.13-1.15
creeper_head,1.4.2,pre_1_8
crimson_button,1.16,1.16-1.18
crimson_door,1.16,1.16-1.18
crimson_fence,1.16,1.16-1.18
crimson_fence_gate,1.16,1.16-1.18
crimson_hanging_sign,1.19.3,1.19+
crimson_hyphae,1.16,1.16-1.18
crimson_planks,1.16,1.16-1.18
crimson_pressure_plate,1.16,1.16-1.18
crimson_shelf,1.21.9,1.19+
crimson_sign,1.16,1.16-1.18
crimson_slab,1.16,1.16-1.18
crimson_stairs,1.16,1.16-1.18
crimson_stem,1.16,1.16-1.18
crimson_trapdoor,1.16,1.16-1.18
crossbow,1.14,1.13-1.15
crying_obsidian,1.16,1.16-1.18
cut_copper,1.17,1.16-1.18
cut_copper_slab,1.17,1.16-1.18
cut_copper_stairs,1.17,1.16-1.18
cut_red_sandstone,1.8,pre_1_8
cut_red_sandstone_slab,1.14,1.13-1.15
cut_sandstone,1.2.4,pre_1_8
cut_sandstone_slab,1.14,1.13-1.15
cyan_banner,1.8,pre_1_8
cyan_bed,1.12,1.9-1.12
cyan_candle,1.17,1.16-1.18
cyan_carpet,1.6.1,pre_1_8
cyan_concrete_powder,1.12,1.9-1.12
cyan_dye,1.0.0,pre_1_8
cyan_glazed_terracotta,1.12,1.9-1.12
cyan_harness,1.21.5,1.19+
cyan_stained_glass,1.7.2,pre_1_8
cyan_stained_glass_pane,1.7.2,pre_1_8
cyan_terracotta,1.6.1,pre_1_8
cyan_wool,1.0.0,pre_1_8
dandelion,1.0.0,pre_1_8
dark_oak_boat,1.9,1.9-1.12
dark_oak_button,1.13,1.13-1.15
dark_oak_chest_boat,1.19,1.19+
dark_oak_door,1.8,pre_1_8
dark_oak_fence,1.8,pre_1_8
dark_oak_fence_gate,1.8,pre_1_8
dark_oak_hanging_sign,1.19.3,1.19+
dark_oak_log,1.7.2,pre_1_8
dark_oak_planks,1.7,pre_1_8
dark_oak_pressure_plate,1.13,1.13-1.15
dark_oak_shelf,1.21.9,1.19+
dark_oak_sign,1.14,1.13-1.15
dark_oak_slab,1.7,pre_1_8
dark_oak_stairs,1.7,pre_1_8
dark_oak_trapdoor,1.13,1.13-1.15
dark_oak_wood,1.7.2,pre_1_8
dark_prismarine,1.8,pre_1_8
dark_prismarine_slab,1.13,1.13-1.15
dark_prismarine_stairs,1.13,1.13-1.15
daylight_detector,1.5,pre_1_8
decorated_pot,1.19.4,1.19+
deepslate,1.17,1.16-1.18
deepslate_brick_slab,1.17,1.16-1.18
deepslate_brick_stairs,1.17,1.16-1.18
deepslate_brick_wall,1.17,1.16-1.18
deepslate_bricks,1.17,1.16-1.18
deepslate_coal_ore,1.17,1.16-1.18
deepslate_copper_ore,1.17,1.16-1.18
deepslate_diamond_ore,1.17,1.16-1.18
deepslate_emerald_ore,1.17,1.16-1.18
deepslate_gold_ore,1.17,1.16-1.18
deepslate_iron_ore,1.17,1.16-1.18
deepslate_lapis_ore,1.17,1.16-1.18
deepslate_redstone_ore,1.17,1.16-1.18
deepslate_tile_slab,1.17,1.16-1.18
deepslate_tile_stairs,1.17,1.16-1.18
deepslate_tile_wall,1.17,1.16-1.18
deepslate_tiles,1.17,1.16-1.18
detector_rail,1.0.0,pre_1_8
diamond,1.0.0,pre_1_8
diamond_axe,1.0.0,pre_1_8
diamond_block,1.0.0,pre_1_8
diamond_boots,1.0.0,pre_1_8
diamond_chestplate,1.0.0,pre_1_8
diamond_helmet,1.0.0,pre_1_8
diamond_hoe,1.0.0,pre_1_8
diamond_horse_armor,1.6.1,pre_1_8
diamond_leggings,1.0.0,pre_1_8
diamond_nautilus_armor,1.21.9,1.19+
diamond_ore,1.0.0,pre_1_8
diamond_pickaxe,1.0.0,pre_1_8
diamond_shovel,1.0.0,pre_1_8
diamond_spear,1.21.9,1.19+
diamond_sword,1.0.0,pre_1_8
diorite,1.7.4,pre_1_8
diorite_slab,1.14,1.13-1.15
diorite_stairs,1.14,1.13-1.15
diorite_wall,1.14,1.13-1.15
dirt,1.0.0,pre_1_8
disc_fragment_5,1.19,1.19+
dispenser,1.0.0,pre_1_8
dried_ghast,1.21.5,1.19+
dried_kelp,1.13,1.13-1.15
dried_kelp_block,1.13,1.13-1.15
dripstone_block,1.17,1.16-1.18
dropper,1.5,pre_1_8
dune_armor_trim_smithing_template,1.19.4,1.19+
echo_shard,1.19,1.19+
emerald,1.3.1,pre_1_8
emerald_block,1.3.1,pre_1_8
emerald_ore,1.3.1,pre_1_8
enchanted_golden_apple,1.3.1,pre_1_8
enchanting_table,1.0.0,pre_1_8
end_crystal,1.9,1.9-1.12
end_rod,1.9,1.9-1.12
end_stone,1.0.0,pre_1_8
end_stone_brick_slab,1.14,1.13-1.15
end_stone_brick_stairs,1.14,1.13-1.15
end_stone_brick_wall,1.14,1.13-1.15
end_stone_bricks,1.9,1.9-1.12
ender_chest,1.3.1,pre_1_8
ender_eye,1.0.0,pre_1_8
ender_pearl,1.0.0,pre_1_8
exposed_chiseled_copper,1.20.3,1.19+
exposed_copper,1.17,1.16-1.18
exposed_copper_bars,1.21.9,1.19+
exposed_copper_bulb,1.20.3,1.19+
exposed_copper_chain,1.21.9,1.19+
exposed_copper_chest,1.21.9,1.19+
exposed_copper_door,1.20.3,1.19+
exposed_copper_golem_statue,1.21.9,1.19+
exposed_copper_grate,1.20.3,1.19+
exposed_copper_lantern,1.21.9,1.19+
exposed_copper_trapdoor,1.20.3,1.19+
exposed_cut_copper,1.17,1.16-1.18
exposed_cut_copper_slab,1.17,1.16-1.18
exposed_cut_copper_stairs,1.17,1.16-1.18
exposed_lightning_rod,1.21.9,1.19+
eye_armor_trim_smithing_template,1.19.4,1.19+
feather,1.0.0,pre_1_8
fermented_spider_eye,1.0.0,pre_1_8
field_masoned_banner_pattern,1.21.2,1.19+
fire_charge,1.2.1,pre_1_8
firework_rocket,1.4.6,pre_1_8
fishing_rod,1.0.0,pre_1_8
fletching_table,1.14,1.13-1.15
flint,1.0.0,pre_1_8
flint_and_steel,1.0.0,pre_1_8
flow_armor_trim_smithing_template,1.20.5,1.19+
flower_banner_pattern,1.14,1.13-1.15
flower_pot,1.4.2,pre_1_8
furnace,1.0.0,pre_1_8
furnace_minecart,1.0.0,pre_1_8
ghast_tear,1.0.0,pre_1_8
glass,1.0.0,pre_1_8
glass_bottle,1.0.0,pre_1_8
glass_pane,1.0.0,pre_1_8
glistering_melon_slice,1.0.0,pre_1_8
glow_ink_sac,1.17,1.16-1.18
glow_item_frame,1.17,1.16-1.18
glowstone,1.0.0,pre_1_8
glowstone_dust,1.0.0,pre_1_8
gold_block,1.0.0,pre_1_8
gold_ingot,1.0.0,pre_1_8
gold_nugget,1.0.0,pre_1_8
gold_ore,1.0.0,pre_1_8
golden_apple,1.0.0,pre_1_8
golden_axe,1.0.0,pre_1_8
golden_boots,1.0.0,pre_1_8
golden_carrot,1.4.2,pre_1_8
golden_chestplate,1.0.0,pre_1_8
golden_dandelion,26.1,1.19+
golden_helmet,1.0.0,pre_1_8
golden_hoe,1.0.0,pre_1_8
golden_horse_armor,1.6.1,pre_1_8
golden_leggings,1.0.0,pre_1_8
golden_nautilus_armor,1.21.9,1.19+
golden_pickaxe,1.0.0,pre_1_8
golden_shovel,1.0.0,pre_1_8
golden_spear,1.21.9,1.19+
golden_sword,1.0.0,pre_1_8
granite,1.7.4,pre_1_8
granite_slab,1.14,1.13-1.15
granite_stairs,1.14,1.13-1.15
granite_wall,1.14,1.13-1.15
gravel,1.0.0,pre_1_8
gray_banner,1.8,pre_1_8
gray_bed,1.12,1.9-1.12
gray_candle,1.17,1.16-1.18
gray_carpet,1.6.1,pre_1_8
gray_concrete_powder,1.12,1.9-1.12
gray_dye,1.0.0,pre_1_8
gray_glazed_terracotta,1.12,1.9-1.12
gray_harness,1.21.5,1.19+
gray_stained_glass,1.7.2,pre_1_8
gray_stained_glass_pane,1.7.2,pre_1_8
gray_terracotta,1.6.1,pre_1_8
gray_wool,1.0.0,pre_1_8
green_banner,1.8,pre_1_8
green_bed,1.12,1.9-1.12
green_candle,1.17,1.16-1.18
green_carpet,1.6.1,pre_1_8
green_concrete_powder,1.12,1.9-1.12
green_dye,1.0.0,pre_1_8
green_glazed_terracotta,1.12,1.9-1.12
green_harness,1.21.5,1.19+
green_stained_glass,1.7.2,pre_1_8
green_stained_glass_pane,1.7.2,pre_1_8
green_terracotta,1.6.1,pre_1_8
green_wool,1.0.0,pre_1_8
grindstone,1.14,1.13-1.15
gunpowder,1.0.0,pre_1_8
hay_block,1.6.1,pre_1_8
heart_of_the_sea,1.13,1.13-1.15
heavy_core,1.20.5,1.19+
heavy_weighted_pressure_plate,1.5,pre_1_8
honey_block,1.15,1.13-1.15
honey_bottle,1.15,1.13-1.15
honeycomb,1.15,1.13-1.15
honeycomb_block,1.15,1.13-1.15
hopper,1.5,pre_1_8
hopper_minecart,1.5,pre_1_8
host_armor_trim_smithing_template,1.20,1.19+
ice,1.0.0,pre_1_8
ink_sac,1.0.0,pre_1_8
iron_axe,1.0.0,pre_1_8
iron_bars,1.0.0,pre_1_8
iron_block,1.0.0,pre_1_8
iron_boots,1.0.0,pre_1_8
iron_chain,1.16,1.16-1.18
iron_chestplate,1.0.0,pre_1_8
iron_door,1.0.0,pre_1_8
iron_helmet,1.0.0,pre_1_8
iron_hoe,1.0.0,pre_1_8
iron_horse_armor,1.6.1,pre_1_8
iron_ingot,1.0.0,pre_1_8
iron_leggings,1.0.0,pre_1_8
iron_nautilus_armor,1.21.9,1.19+
iron_nugget,1.11,1.9-1.12
iron_ore,1.0.0,pre_1_8
iron_pickaxe,1.0.0,pre_1_8
iron_shovel,1.0.0,pre_1_8
iron_spear,1.21.9,1.19+
iron_sword,1.0.0,pre_1_8
iron_trapdoor,1.8,pre_1_8
item_frame,1.4.2,pre_1_8
jack_o_lantern,1.0.0,pre_1_8
jukebox,1.0.0,pre_1_8
jungle_boat,1.9,1.9-1.12
jungle_button,1.13,1.13-1.15
jungle_chest_boat,1.19,1.19+
jungle_door,1.8,pre_1_8
jungle_fence,1.8,pre_1_8
jungle_fence_gate,1.8,pre_1_8
jungle_hanging_sign,1.19.3,1.19+
jungle_log,1.2.1,pre_1_8
jungle_planks,1.2.4,pre_1_8
jungle_pressure_plate,1.13,1.13-1.15
jungle_shelf,1.21.9,1.19+
jungle_sign,1.14,1.13-1.15
jungle_slab,1.3.1,pre_1_8
jungle_stairs,1.3.1,pre_1_8
jungle_trapdoor,1.13,1.13-1.15
jungle_wood,1.3.1,pre_1_8
kelp,1.13,1.13-1.15
ladder,1.0.0,pre_1_8
lantern,1.14,1.13-1.15
lapis_block,1.0.0,pre_1_8
lapis_lazuli,1.0.0,pre_1_8
lapis_ore,1.0.0,pre_1_8
lead,1.6.1,pre_1_8
leaf_litter,1.21.5,1.19+
leather,1.0.0,pre_1_8
leather_boots,1.0.0,pre_1_8
leather_chestplate,1.0.0,pre_1_8
leather_helmet,1.0.0,pre_1_8
leather_horse_armor,1.14,1.13-1.15
leather_leggings,1.0.0,pre_1_8
lectern,1.14,1.13-1.15
lever,1.0.0,pre_1_8
light_blue_banner,1.8,pre_1_8
light_blue_bed,1.12,1.9-1.12
light_blue_candle,1.17,1.16-1.18
light_blue_carpet,1.6.1,pre_1_8
light_blue_concrete_powder,1.12,1.9-1.12
light_blue_dye,1.0.0,pre_1_8
light_blue_glazed_terracotta,1.12,1.9-1.12
light_blue_harness,1.21.5,1.19+
light_blue_stained_glass,1.7.2,pre_1_8
light_blue_stained_glass_pane,1.7.2,pre_1_8
light_blue_terracotta,1.6.1,pre_1_8
light_blue_wool,1.0.0,pre_1_8
light_gray_banner,1.8,pre_1_8
light_gray_bed,1.12,1.9-1.12
light_gray_candle,1.17,1.16-1.18
light_gray_carpet,1.6.1,pre_1_8
light_gray_concrete_powder,1.12,1.9-1.12
light_gray_dye,1.0.0,pre_1_8
light_gray_glazed_terracotta,1.12,1.9-1.12
light_gray_harness,1.21.5,1.19+
light_gray_stained_glass,1.7.2,pre_1_8
light_gray_stained_glass_pane,1.7.2,pre_1_8
light_gray_terracotta,1.6.1,pre_1_8
light_gray_wool,1.0.0,pre_1_8
light_weighted_pressure_plate,1.5,pre_1_8
lightning_rod,1.17,1.16-1.18
lilac,1.6.1,pre_1_8
lily_of_the_valley,1.14,1.13-1.15
lime_banner,1.8,pre_1_8
lime_bed,1.12,1.9-1.12
lime_candle,1.17,1.16-1.18
lime_carpet,1.6.1,pre_1_8
lime_concrete_powder,1.12,1.9-1.12
lime_dye,1.0.0,pre_1_8
lime_glazed_terracotta,1.12,1.9-1.12
lime_harness,1.21.5,1.19+
lime_stained_glass,1.7.2,pre_1_8
lime_stained_glass_pane,1.7.2,pre_1_8
lime_terracotta,1.6.1,pre_1_8
lime_wool,1.0.0,pre_1_8
lodestone,1.16,1.16-1.18
loom,1.14,1.13-1.15
mace,1.20.5,1.19+
magenta_banner,1.8,pre_1_8
magenta_bed,1.12,1.9-1.12
magenta_candle,1.17,1.16-1.18
magenta_carpet,1.6.1,pre_1_8
magenta_concrete_powder,1.12,1.9-1.12
magenta_dye,1.0.0,pre_1_8
magenta_glazed_terracotta,1.12,1.9-1.12
magenta_harness,1.21.5,1.19+
magenta_stained_glass,1.7.2,pre_1_8
magenta_stained_glass_pane,1.7.2,pre_1_8
magenta_terracotta,1.6.1,pre_1_8
magenta_wool,1.0.0,pre_1_8
magma_block,1.10,1.9-1.12
magma_cream,1.0.0,pre_1_8
mangrove_boat,1.19,1.19+
mangrove_button,1.19,1.19+
mangrove_chest_boat,1.19,1.19+
mangrove_door,1.19,1.19+
mangrove_fence,1.19,1.19+
mangrove_fence_gate,1.19,1.19+
mangrove_hanging_sign,1.19.3,1.19+
mangrove_log,1.19,1.19+
mangrove_planks,1.19,1.19+
mangrove_pressure_plate,1.19,1.19+
mangrove_roots,1.19,1.19+
mangrove_shelf,1.21.9,1.19+
mangrove_sign,1.19,1.19+
mangrove_slab,1.19,1.19+
mangrove_stairs,1.19,1.19+
mangrove_trapdoor,1.19,1.19+
mangrove_wood,1.19,1.19+
map,1.4.2,pre_1_8
melon,1.0.0,pre_1_8
melon_seeds,1.0.0,pre_1_8
melon_slice,1.0.0,pre_1_8
milk_bucket,1.0.0,pre_1_8
minecart,1.0.0,pre_1_8
mojang_banner_pattern,1.14,1.13-1.15
moss_block,1.17,1.16-1.18
moss_carpet,1.17,1.16-1.18
mossy_cobblestone,1.0.0,pre_1_8
mossy_cobblestone_slab,1.14,1.13-1.15
mossy_cobblestone_stairs,1.14,1.13-1.15
mossy_cobblestone_wall,1.4.2,pre_1_8
mossy_stone_brick_slab,1.14,1.13-1.15
mossy_stone_brick_stairs,1.14,1.13-1.15
mossy_stone_brick_wall,1.14,1.13-1.15
mossy_stone_bricks,1.0.0,pre_1_8
mud,1.19,1.19+
mud_brick_slab,1.19,1.19+
mud_brick_stairs,1.19,1.19+
mud_brick_wall,1.19,1.19+
mud_bricks,1.19,1.19+
muddy_mangrove_roots,1.19,1.19+
mushroom_stew,1.0.0,pre_1_8
music_disc_5,1.19,1.19+
mutton,1.8,pre_1_8
name_tag,1.6.1,pre_1_8
nautilus_shell,1.13,1.13-1.15
nether_brick,1.5,pre_1_8
nether_brick_fence,1.0.0,pre_1_8
nether_brick_slab,1.4.6,pre_1_8
nether_brick_stairs,1.0.0,pre_1_8
nether_brick_wall,1.14,1.13-1.15
nether_bricks,1.0.0,pre_1_8
nether_gold_ore,1.16,1.16-1.18
nether_quartz_ore,1.5,pre_1_8
nether_star,1.4.2,pre_1_8
nether_wart,1.0.0,pre_1_8
nether_wart_block,1.10,1.9-1.12
netherite_axe,1.16,1.16-1.18
netherite_block,1.16,1.16-1.18
netherite_boots,1.16,1.16-1.18
netherite_chestplate,1.16,1.16-1.18
netherite_helmet,1.16,1.16-1.18
netherite_hoe,1.16,1.16-1.18
netherite_horse_armor,1.21.9,1.19+
netherite_ingot,1.16,1.16-1.18
netherite_leggings,1.16,1.16-1.18
netherite_nautilus_armor,1.21.9,1.19+
netherite_pickaxe,1.16,1.16-1.18
netherite_scrap,1.16,1.16-1.18
netherite_shovel,1.16,1.16-1.18
netherite_spear,1.21.9,1.19+
netherite_sword,1.16,1.16-1.18
netherite_upgrade_smithing_template,1.19.4,1.19+
netherrack,1.0.0,pre_1_8
note_block,1.0.0,pre_1_8
oak_boat,1.0.0,pre_1_8
oak_button,1.4.2,pre_1_8
oak_chest_boat,1.19,1.19+
oak_door,1.0.0,pre_1_8
oak_fence,1.0.0,pre_1_8
oak_fence_gate,1.0.0,pre_1_8
oak_hanging_sign,1.19.3,1.19+
oak_log,1.0.0,pre_1_8
oak_planks,1.0.0,pre_1_8
oak_pressure_plate,1.0.0,pre_1_8
oak_shelf,1.21.9,1.19+
oak_sign,1.0.0,pre_1_8
oak_slab,1.3.1,pre_1_8
oak_stairs,1.0.0,pre_1_8
oak_trapdoor,1.0.0,pre_1_8
